id,name,city,state,website,keep_id,keep_name,keep_city,keep_website,metres
9039,Ron Yates,Johnson City,TX,http://www.ronyateswines.com/,6413,Ron Yates,Johnson City,http://www.ronyateswines.com,432
13243,Salt Lick Cellars,Driftwood,TX,http://saltlickcellars.com,7421,Salt Lick Cellars,Driftwood,https://saltlickcellars.com,821
12309,Sandy Road Vineyards,Johnson City,TX,http://sandyroadvineyards.com/,8940,Sandy Road Vineyards,Johnson City,https://www.sandyroadvineyards.com,439
14151,The Austin Winery,Austin,TX,http://www.theaustinwinery.com,11667,The Austin Winery,Austin,http://www.theaustinwinery.com,17
12112,U Bar Wines,Bellville,TX,http://ubarwines.com/,3192,U Bar Wines,Bellville,http://Www.ubarwines.com/,969
12834,Wedding Oak Winery,Fredericksburg,TX,https://www.weddingoakwinery.com/visit-us-in-fredericksburg,12343,Wedding Oak Winery,Fredericksburg,https://weddingoakwinery.com,2921
10706,Barboursville Winery,Barboursville,VA,,10826,Barboursville Winery,Barboursville,http://www.barboursvillewine.net/winery/estate-and-history/founding-a-vineyard,1859
13714,Beliveau Estate,Blacksburg,VA,http://beliveauestatewinery.com/index.html,2306,Beliveau Estate,Blacksburg,http://www.beliveauestate.com,998
8021,Chateau Merrillanne Llc,Orange,VA,http://www.chateaumerrillanne.com,4317,Chateau MerrillAnne LLC,Orange,http://www.ChateauMerrillAnne.com/,717
14410,Gauthier Vineyard,Bar handbills,VA,http://www.gauthiervineyard.com,2882,Gauthier Vineyard,Barhamsville,http://www.gauthiervineyard.com/,521
12978,Hazy Mountain Vineyards and Brewery,Afton,VA,http://hazy-mountain.com/,6818,Hazy Mountain Vineyards and Brewery,Afton,https://www.hazy-mountain.com,705
8410,Hiddencroft Vineyards,Lovettsville,VA,http://www.hiddencroftvineyards.com/,1207,Hiddencroft Vineyards,Lovettsville,http://www.hiddencroftvineyards.com,471
10526,Keswick Vineyards,Keswick,VA,https://www.keswickvineyards.com,7718,Keswick Vineyards,Keswick,http://www.keswickvineyards.com,588
12803,Ramulose Ridge Vineyards,Moneta,VA,http://www.ramuloseridgevineyards.com/,5174,Ramulose Ridge Vineyards,Moneta,http://www.ramuloseridgevineyards.com/,517
4713,Rappahannock Cellars,Huntly,VA,,7959,Rappahannock Cellars,Huntly,http://rappahannockcellars.com/,282
9746,Trump Winery,Charlottesville,VA,https://www.trumpwinery.com/,2600,Trump Winery,Charlottesville,https://www.trumpwinery.com,491
13140,Trump Winery,Charlottesville,VA,http://trumpwinery.com/,2600,Trump Winery,Charlottesville,https://www.trumpwinery.com,1140
4849,Walsh Family Wine,Purcellville,VA,http://walshfamilywine.com,2396,Walsh Family Wine,Purcellville,http://www.walshfamilywine.com/,1000
7219,Ancestry Cellars,Woodinville,WA,https://ancestrycellars.com,932,Ancestry Cellars,Woodinville,http://ancestrycellars.com/,2151
13165,Avennia,Woodinville,WA,http://www.avennia.com,4988,Avennia,Woodinville,http://avennia.com/,605
11058,Baer Winery,Woodinville,WA,http://www.baerwinery.com/,3634,Baer Winery,Woodinville,https://baerwinery.com,1995
9664,Cavu Cellars,Walla Walla,WA,http://www.cavucellars.com,3647,CAVU Cellars,Walla Walla,http://www.cavucellars.com/,1425
10142,Coyote Canyon Winery,Prosser,WA,http://www.coyotecanyonwinery.com/,3112,Coyote Canyon Winery,Prosser,http://coyotecanyonwinery.com/,832
5010,Delille Cellars,Woodinville,WA,https://www.delillecellars.com,2058,Delille Cellars,Redmond,http://www.delillecellars.com,1091
14080,Devona,Walla Walla,WA,https://www.devona.net,13846,Devona,Walla Walla,http://www.devona.net,808
11939,Eleven Winery,Bainbridge Island,WA,http://www.elevenwinery.com/,498,Eleven Winery,Bainbridge Island,http://elevenwinery.com,822
10269,Fletcher Bay Winery,Bainbridge Island,WA,http://www.fletcherbaywinery.com/,7022,Fletcher Bay Winery,Bainbridge Island,http://www.fletcherbaywinery.com,2708
10271,Freehand Cellars,Wapato,WA,http://www.freehandcellars.com,7380,Freehand Cellars,Wapato,http://www.freehandcellars.com/event-links,1143
3669,Ginkgo Forest Winery,Mattawa,WA,http://www.ginkgowinery.com/,3451,Ginkgo Forest Winery,Mattawa,http://ginkgowinery.com,1327
13855,Golden Ridge Cellars,Walla Walla,WA,https://goldenridgecellars.net,7923,Golden Ridge Cellars,Walla Walla,http://www.goldenridgecellars.com/,671
7940,Kiona Vineyards and Winery,Benton City,WA,,7264,Kiona Vineyards and Winery,Benton City,http://www.kionawine.com/,1030
10407,Laurelhurst Cellars,Seattle,WA,http://www.laurelhurstcellars.com,5840,Laurelhurst Cellars,Seattle,http://laurelhurstcellars.com,1760
10992,Mark Ryan Winery,Woodinville,WA,http://www.markryanwinery.com/,5629,Mark Ryan Winery,Woodinville,http://www.RossAndrewWinery.com,567
